iter	RMSE
0	258.4984914
1	256.3356294
2	254.1502806
3	252.5194462
4	250.5713802
5	248.7441098
6	246.4323729
7	244.8983411
8	242.9125359
9	240.9545394
10	239.5102323
11	238.1288283
12	236.2598363
13	234.9742296
14	233.5086306
15	232.1612808
16	230.9460597
17	229.3701322
18	228.0217957
19	226.8433797
20	225.7492957
21	223.7590971
22	222.7403373
23	221.3993913
24	219.7422097
25	218.6294063
26	217.0958781
27	216.2815285
28	215.0191188
29	213.968986
30	212.4053052
31	211.2032335
32	210.2059657
33	208.9337839
34	207.1380948
35	205.9489436
36	205.2158384
37	204.2779071
38	203.4435258
39	202.2978572
40	201.3863597
41	200.6392579
42	199.5626742
43	198.4797716
44	197.2642249
45	196.1868615
46	194.7553977
47	193.8213676
48	193.1294033
49	191.6994151
50	190.8326553
51	189.8736376
52	189.1574491
53	188.3817728
54	186.9226437
55	185.862854
56	184.5980979
57	183.5019511
58	182.2288906
59	181.3796375
60	180.3895768
61	178.6117254
62	177.548329
63	176.6553975
64	175.6345923
65	174.8342351
66	174.168096
67	173.4966613
68	172.7039654
69	171.9517306
70	170.9290589
71	169.9955904
72	169.0769641
73	167.9950856
74	166.7099829
75	165.3295951
76	164.4496029
77	163.7142977
78	162.7035496
79	161.8112794
80	161.0192575
81	160.4410463
82	159.8799003
83	158.9573008
84	157.8665302
85	156.9749597
86	155.8559773
87	154.9832522
88	154.1614841
89	153.0954408
90	152.3012401
91	151.5287777
92	150.789944
93	150.1603116
94	149.5722118
95	149.1244615
96	148.3391643
97	147.7245071
98	147.1202094
99	146.7103009
100	145.6793156
101	144.7623404
102	143.8055624
103	142.7556513
104	141.679314
105	140.9898328
106	140.3599624
107	139.7560765
108	139.2420213
109	138.5091469
110	137.9856835
111	137.4454696
112	136.7536482
113	136.0150468
114	134.9151887
115	134.2634982
116	133.4577287
117	132.9526111
118	132.2133075
119	131.4834464
120	130.7285481
121	130.2545778
122	129.6694758
123	129.09964
124	128.2841712
125	127.9322901
126	127.1950801
127	126.7138832
128	126.2765394
129	125.7447628
130	125.2997399
131	124.7401532
132	124.407673
133	123.8266894
134	123.2839972
135	122.7767128
136	122.298337
137	121.9267996
138	121.4702617
139	120.9769177
140	120.3168832
141	120.0976761
142	119.3484797
143	118.6169202
144	118.2141928
145	117.8444173
146	117.044523
147	116.639233
148	116.1249438
149	115.5342116
150	115.0001458
151	114.5553063
152	114.3138662
153	113.9684972
154	113.3503837
155	112.7662117
156	112.1325379
157	111.6588434
158	110.9651865
159	110.4965091
160	110.0035283
161	109.6231499
162	109.2159609
163	108.6419837
164	107.9504888
165	107.5477638
166	107.1421524
167	106.7551598
168	106.396638
169	106.0152712
170	105.8096843
171	105.2256593
172	104.7194633
173	104.4309701
174	103.9707892
175	103.3481448
176	102.7791047
177	102.1449966
178	101.8215004
179	101.4996999
180	101.2698809
181	100.9157953
182	100.5026456
183	100.1272752
184	99.84933231
185	99.24482986
186	98.7923389
187	98.39237006
188	97.83900106
189	97.55092252
190	96.99596064
191	96.52078259
192	96.16971115
193	95.67738688
194	95.21367162
195	94.86947104
196	94.52852891
197	94.25951795
198	93.91348557
199	93.45266954
200	93.13274491
201	92.77041862
202	92.28502823
203	91.92042639
204	91.29852401
205	90.76715279
206	90.43339799
207	89.89598671
208	89.51369269
209	89.09835488
210	88.84974906
211	88.29690189
212	87.86977455
213	87.53080482
214	86.96339981
215	86.66067773
216	86.15046535
217	85.62162663
218	85.32639948
219	85.00241806
220	84.81538408
221	84.5053215
222	84.19190317
223	83.92386449
224	83.47897959
225	83.08777287
226	82.73379097
227	82.32013114
228	81.91989584
229	81.50615573
230	81.17296079
231	80.78795913
232	80.38055586
233	80.05564099
234	79.73663831
235	79.48859418
236	79.16913434
237	78.77007632
238	78.40509363
239	78.07684224
240	77.70824019
241	77.31037278
242	76.95346578
243	76.55621335
244	76.23725067
245	75.92741436
246	75.53757856
247	75.23887848
248	74.93880174
249	74.59678622
250	74.38743056
251	74.04034515
252	73.59114525
253	73.27199545
254	72.95962508
255	72.64843961
256	72.39488149
257	72.02042958
258	71.7491914
259	71.52147248
260	71.28555727
261	70.9312006
262	70.56926597
263	70.23695461
264	69.85686441
265	69.63441336
266	69.36587989
267	69.11983559
268	68.79593813
269	68.54851602
270	68.2621833
271	67.92669489
272	67.51684333
273	67.24233743
274	66.89156432
275	66.59842526
276	66.3837191
277	66.05253935
278	65.79289016
279	65.53904865
280	65.25249609
281	64.98769524
282	64.57312524
283	64.23621408
284	63.94084257
285	63.78855413
286	63.47880431
287	63.22997922
288	62.97943396
289	62.72066448
290	62.56306746
291	62.23876525
292	61.98145024
293	61.68661374
294	61.46427394
295	61.23886417
296	61.05224284
297	60.75063268
298	60.44633069
299	60.24657799
300	60.02318513
301	59.88833777
302	59.72139712
303	59.58247152
304	59.34985813
305	59.11950344
306	58.87357442
307	58.66969958
308	58.32060958
309	58.04470582
310	57.7670931
311	57.52147447
312	57.27839234
313	57.00192855
314	56.80301088
315	56.52058595
316	56.2603847
317	55.9964637
318	55.81114006
319	55.59327675
320	55.34442407
321	55.12216739
322	54.88228904
323	54.6575936
324	54.46359095
325	54.29414766
326	54.08512946
327	53.81910252
328	53.59715541
329	53.41384651
330	53.18408865
331	53.02944674
332	52.83368745
333	52.65331137
334	52.45876172
335	52.27629049
336	52.13271796
337	51.94480059
338	51.79708766
339	51.71912698
340	51.49997796
341	51.31088452
342	51.0551821
343	50.9616749
344	50.78405355
345	50.61555363
346	50.34693341
347	50.08060241
348	49.93307386
349	49.75664435
350	49.56934271
351	49.36381835
352	49.21306248
353	48.9373296
354	48.78132582
355	48.6152992
356	48.47395748
357	48.35788159
358	48.22325425
359	48.01052886
360	47.75711358
361	47.63614964
362	47.45842836
363	47.26143687
364	47.01950642
365	46.81854309
366	46.64118145
367	46.44436298
368	46.24530969
369	46.07984159
370	45.90727209
371	45.75484591
372	45.62200868
373	45.47952018
374	45.24371533
375	45.14613598
376	45.03131394
377	44.88889487
378	44.67023414
379	44.51831388
380	44.33869623
381	44.1732548
382	43.97342505
383	43.87930255
384	43.72831548
385	43.6053081
386	43.49428359
387	43.33991491
388	43.20907986
389	42.99893896
390	42.90414323
391	42.70892017
392	42.54300166
393	42.39436124
394	42.22813911
395	42.08888432
396	41.91630768
397	41.77856191
398	41.63403947
399	41.53162176
400	41.34242683
401	41.25692968
402	41.08242765
403	40.88882779
404	40.77072693
405	40.59720524
406	40.52464886
407	40.39210828
408	40.24116811
409	40.05903453
410	39.92961664
411	39.80519444
412	39.68127276
413	39.54788896
414	39.44050523
415	39.28962707
416	39.11323059
417	38.95069578
418	38.79448849
419	38.64157327
420	38.54986828
421	38.46127447
422	38.37098311
423	38.27324624
424	38.06105138
425	37.88796742
426	37.76557765
427	37.68653023
428	37.54336006
429	37.44944814
430	37.29910298
431	37.17437442
432	36.9916468
433	36.89780062
434	36.80670731
435	36.7083027
436	36.64230734
437	36.49056983
438	36.40288905
439	36.2694712
440	36.11178358
441	35.92034436
442	35.78348925
443	35.71143501
444	35.58672981
445	35.50345697
446	35.41213511
447	35.3321713
448	35.15278719
449	34.99584586
450	34.87069129
451	34.73275321
452	34.59364548
453	34.40093231
454	34.31311596
455	34.26159872
456	34.16773355
457	34.0767505
458	33.98108637
459	33.88751877
460	33.78174977
461	33.59302291
462	33.52180668
463	33.45468384
464	33.34860561
465	33.28195715
466	33.18105461
467	33.10722668
