iter	Passed	Remaining
0	5	5046
1	11	5572
2	16	5608
3	21	5321
4	26	5230
5	30	5014
6	34	4849
7	38	4719
8	43	4762
9	48	4754
10	52	4687
11	55	4580
12	59	4512
13	63	4447
14	66	4379
15	69	4300
16	73	4248
17	77	4207
18	80	4163
19	83	4105
20	87	4059
21	90	4040
22	94	4006
23	97	3970
24	100	3936
25	104	3906
26	108	3902
27	111	3879
28	114	3849
29	118	3818
30	121	3804
31	128	3876
32	133	3898
33	136	3878
34	140	3876
35	144	3869
36	147	3850
37	151	3834
38	155	3830
39	158	3813
40	162	3798
41	165	3778
42	169	3764
43	173	3763
44	176	3749
45	180	3733
46	183	3724
47	187	3722
48	191	3711
49	194	3690
50	197	3677
51	201	3664
52	204	3656
53	208	3650
54	212	3644
55	216	3642
56	219	3638
57	223	3632
58	227	3629
59	231	3622
60	234	3616
61	238	3604
62	241	3591
63	244	3581
64	248	3569
65	251	3561
66	254	3548
67	258	3537
68	261	3523
69	264	3511
70	267	3504
71	271	3494
72	274	3488
73	278	3478
74	281	3468
75	285	3469
76	289	3465
77	292	3456
78	296	3453
79	300	3452
80	303	3447
81	307	3442
82	311	3436
83	314	3433
84	318	3433
85	323	3433
86	327	3434
87	331	3432
88	335	3430
89	338	3423
90	342	3417
91	345	3412
92	350	3416
93	354	3414
94	358	3411
95	361	3407
96	366	3407
97	369	3401
98	373	3397
99	376	3392
100	381	3393
101	384	3388
102	388	3384
103	392	3377
104	395	3374
105	400	3375
106	403	3370
107	407	3366
108	411	3364
109	415	3360
110	418	3353
111	421	3345
112	425	3337
113	430	3342
114	433	3335
115	436	3327
116	439	3320
117	443	3314
118	447	3309
119	450	3300
120	453	3293
121	456	3285
122	459	3279
123	463	3275
124	466	3266
125	469	3259
126	473	3255
127	477	3251
128	481	3247
129	484	3245
130	489	3246
131	493	3245
132	497	3240
133	500	3235
134	504	3231
135	507	3226
136	511	3220
137	514	3213
138	517	3206
139	520	3200
140	524	3197
141	528	3190
142	531	3182
143	534	3176
144	537	3170
145	541	3166
146	544	3160
147	547	3154
148	551	3148
149	554	3143
150	558	3141
151	562	3138
152	566	3135
153	569	3130
154	573	3126
155	576	3121
156	580	3118
157	584	3115
158	588	3111
159	592	3108
160	595	3105
161	599	3101
162	603	3098
163	607	3096
164	612	3101
165	616	3099
166	621	3100
167	626	3101
168	630	3102
169	634	3100
170	639	3099
171	643	3099
172	647	3096
173	651	3092
174	656	3093
175	660	3090
176	664	3087
177	667	3083
178	672	3082
179	675	3078
180	679	3074
181	683	3071
182	687	3071
183	691	3068
184	696	3067
185	701	3068
186	705	3069
187	710	3067
188	714	3064
189	718	3064
190	722	3062
191	727	3060
192	731	3058
193	736	3059
194	740	3057
195	744	3053
196	749	3053
197	753	3052
198	757	3049
199	761	3047
200	765	3044
201	769	3041
202	773	3038
203	777	3034
204	781	3030
205	785	3027
206	789	3022
207	792	3017
208	795	3010
209	799	3006
210	802	3001
211	806	2998
212	810	2995
213	814	2991
214	818	2987
215	821	2982
216	824	2976
217	828	2970
218	831	2967
219	835	2961
220	838	2956
221	842	2951
222	846	2947
223	850	2945
224	853	2940
225	857	2935
226	860	2930
227	864	2926
228	867	2921
229	871	2916
230	874	2910
231	877	2904
232	881	2900
233	884	2895
234	888	2891
235	891	2886
236	895	2884
237	899	2880
238	903	2875
239	906	2870
240	909	2864
241	913	2861
242	916	2856
243	920	2851
244	923	2847
245	927	2843
246	931	2839
247	934	2834
248	938	2829
249	941	2825
250	946	2823
251	949	2819
252	953	2816
253	958	2814
254	962	2813
255	967	2811
256	971	2809
257	976	2807
258	980	2804
259	984	2801
260	988	2798
261	992	2795
262	996	2791
263	999	2786
264	1003	2782
265	1007	2780
266	1011	2776
267	1015	2772
268	1019	2769
269	1023	2766
270	1027	2763
271	1031	2760
272	1036	2759
273	1040	2757
274	1045	2755
275	1049	2753
276	1053	2750
277	1058	2747
278	1061	2743
279	1065	2739
280	1069	2736
281	1073	2733
282	1077	2728
283	1081	2725
284	1084	2721
285	1088	2716
286	1091	2711
287	1095	2708
288	1098	2703
289	1102	2699
290	1107	2697
291	1111	2693
292	1114	2689
293	1118	2685
294	1122	2681
295	1125	2677
296	1129	2673
297	1132	2668
298	1136	2663
299	1139	2659
300	1143	2654
301	1146	2649
302	1149	2644
303	1153	2640
304	1157	2637
305	1161	2633
306	1164	2629
307	1168	2625
308	1173	2623
309	1176	2619
310	1180	2616
311	1185	2614
312	1189	2611
313	1193	2608
314	1197	2604
315	1202	2601
316	1205	2598
317	1209	2593
318	1213	2589
319	1217	2586
320	1220	2582
321	1224	2577
322	1227	2572
323	1230	2567
324	1234	2563
325	1237	2558
326	1240	2553
327	1243	2548
328	1247	2544
329	1251	2540
330	1254	2535
331	1257	2530
332	1260	2525
333	1263	2520
334	1267	2516
335	1270	2511
336	1273	2506
337	1277	2501
338	1280	2496
339	1283	2492
340	1287	2487
341	1290	2483
342	1294	2479
343	1298	2476
344	1302	2472
345	1306	2468
346	1310	2465
347	1314	2461
348	1317	2457
349	1321	2453
350	1324	2449
351	1327	2444
352	1331	2441
353	1335	2437
354	1339	2433
355	1342	2428
356	1346	2424
357	1349	2420
358	1353	2416
359	1356	2411
360	1359	2406
361	1363	2403
362	1367	2399
363	1370	2394
364	1374	2390
365	1377	2386
366	1381	2383
367	1385	2379
368	1389	2375
369	1392	2371
370	1396	2368
371	1401	2365
372	1404	2361
373	1407	2356
374	1412	2353
375	1415	2349
376	1419	2345
377	1422	2341
378	1426	2337
379	1429	2332
380	1433	2328
381	1436	2324
382	1440	2320
383	1444	2317
384	1448	2313
385	1452	2310
386	1455	2305
387	1459	2302
388	1463	2298
389	1466	2293
390	1469	2289
391	1473	2285
392	1477	2282
393	1481	2277
394	1484	2273
395	1487	2268
396	1491	2264
397	1494	2260
398	1498	2256
399	1501	2252
400	1505	2248
401	1508	2244
402	1512	2240
403	1515	2235
404	1519	2231
405	1522	2228
406	1526	2224
407	1530	2220
408	1534	2217
409	1537	2212
410	1541	2208
411	1544	2204
412	1548	2200
413	1552	2197
414	1556	2193
415	1560	2190
416	1563	2186
417	1568	2183
418	1572	2180
419	1576	2177
420	1581	2174
421	1584	2170
422	1588	2166
423	1592	2162
424	1595	2158
425	1599	2154
426	1602	2149
427	1605	2145
428	1608	2141
429	1612	2136
430	1615	2132
431	1618	2127
432	1622	2124
433	1625	2120
434	1629	2116
435	1633	2112
436	1636	2108
437	1640	2104
438	1643	2100
439	1647	2096
440	1650	2092
441	1654	2088
442	1658	2084
443	1661	2080
444	1664	2076
445	1668	2072
446	1672	2068
447	1675	2064
448	1679	2061
449	1683	2057
450	1687	2054
451	1691	2050
452	1694	2046
453	1698	2042
454	1702	2038
455	1705	2034
456	1709	2031
457	1713	2027
458	1718	2025
459	1722	2021
460	1725	2017
461	1730	2015
462	1735	2012
463	1739	2009
464	1743	2005
465	1748	2003
466	1752	2000
467	1757	1997
468	1761	1994
469	1765	1991
470	1769	1987
471	1773	1983
472	1777	1980
473	1781	1976
474	1784	1972
475	1788	1969
476	1792	1965
477	1796	1961
478	1800	1958
479	1805	1955
480	1809	1952
481	1814	1949
482	1818	1946
483	1823	1943
484	1827	1940
485	1832	1938
486	1836	1934
487	1841	1931
488	1847	1930
489	1852	1927
490	1855	1923
491	1859	1919
492	1864	1916
493	1868	1914
494	1872	1910
495	1876	1906
496	1880	1903
497	1884	1899
498	1888	1895
499	1892	1892
500	1896	1889
501	1900	1884
502	1903	1880
503	1907	1876
504	1911	1873
505	1915	1869
506	1919	1866
507	1923	1863
508	1928	1860
509	1932	1856
510	1935	1852
511	1941	1850
512	1945	1846
513	1949	1843
514	1953	1839
515	1958	1836
516	1962	1833
517	1965	1829
518	1969	1825
519	1972	1821
520	1976	1816
521	1979	1812
522	1982	1808
523	1985	1803
524	1989	1800
525	1993	1796
526	1997	1792
527	2000	1788
528	2004	1784
529	2008	1781
530	2011	1776
531	2015	1772
532	2018	1768
533	2021	1764
534	2025	1760
535	2028	1755
536	2031	1751
537	2034	1747
538	2037	1742
539	2041	1738
540	2044	1734
541	2048	1730
542	2051	1726
543	2054	1722
544	2058	1718
545	2062	1714
546	2065	1710
547	2069	1706
548	2073	1703
549	2076	1699
550	2079	1694
551	2083	1690
552	2086	1686
553	2090	1682
554	2093	1678
555	2096	1674
556	2100	1670
557	2103	1666
558	2106	1662
559	2110	1657
560	2113	1653
561	2116	1649
562	2120	1646
563	2124	1641
564	2127	1637
565	2130	1633
566	2134	1629
567	2137	1625
568	2140	1621
569	2143	1617
570	2147	1613
571	2151	1609
572	2155	1605
573	2158	1601
574	2161	1597
575	2164	1593
576	2168	1589
577	2172	1585
578	2175	1581
579	2178	1577
580	2182	1574
581	2186	1570
582	2189	1566
583	2193	1562
584	2196	1558
585	2200	1554
586	2204	1550
587	2207	1546
588	2210	1542
589	2214	1538
590	2217	1534
591	2221	1531
592	2225	1527
593	2228	1523
594	2232	1519
595	2235	1515
596	2239	1511
597	2242	1507
598	2246	1504
599	2250	1500
600	2253	1496
601	2257	1492
602	2260	1488
603	2264	1484
604	2267	1480
605	2271	1476
606	2275	1472
607	2278	1469
608	2282	1465
609	2285	1461
610	2289	1457
611	2293	1453
612	2297	1450
613	2301	1446
614	2304	1442
615	2308	1439
616	2312	1435
617	2316	1431
618	2319	1427
619	2323	1423
620	2327	1420
621	2330	1416
622	2334	1412
623	2337	1408
624	2341	1404
625	2344	1400
626	2348	1397
627	2351	1393
628	2355	1389
629	2359	1385
630	2363	1382
631	2367	1378
632	2370	1374
633	2373	1370
634	2377	1366
635	2381	1363
636	2384	1359
637	2388	1355
638	2391	1351
639	2394	1347
640	2398	1343
641	2401	1339
642	2404	1335
643	2409	1331
644	2413	1328
645	2416	1324
646	2420	1320
647	2424	1316
648	2428	1313
649	2432	1309
650	2436	1306
651	2440	1302
652	2443	1298
653	2447	1294
654	2450	1290
655	2454	1286
656	2458	1283
657	2461	1279
658	2464	1275
659	2468	1271
660	2472	1267
661	2475	1263
662	2479	1260
663	2482	1256
664	2486	1252
665	2491	1249
666	2495	1245
667	2498	1241
668	2502	1238
669	2507	1234
670	2510	1231
671	2515	1227
672	2519	1224
673	2524	1220
674	2528	1217
675	2533	1214
676	2539	1211
677	2544	1208
678	2550	1205
679	2555	1202
680	2561	1199
681	2566	1196
682	2572	1194
683	2578	1191
684	2583	1188
685	2589	1185
686	2594	1182
687	2600	1179
688	2606	1176
689	2611	1173
690	2616	1169
691	2622	1167
692	2629	1164
693	2635	1161
694	2641	1159
695	2647	1156
696	2654	1153
697	2660	1151
698	2667	1148
699	2674	1146
700	2681	1143
701	2690	1141
702	2697	1139
703	2705	1137
704	2712	1134
705	2719	1132
706	2725	1129
707	2733	1127
708	2741	1125
709	2749	1123
710	2757	1120
711	2765	1118
712	2772	1115
713	2778	1112
714	2785	1110
715	2791	1107
716	2797	1104
717	2802	1100
718	2808	1097
719	2813	1094
720	2819	1091
721	2825	1087
722	2831	1084
723	2837	1081
724	2842	1078
725	2848	1074
726	2852	1071
727	2857	1067
728	2861	1063
729	2866	1060
730	2870	1056
731	2874	1052
732	2879	1048
733	2884	1045
734	2888	1041
735	2892	1037
736	2896	1033
737	2900	1029
738	2904	1025
739	2909	1022
740	2914	1018
741	2918	1014
742	2922	1010
743	2926	1007
744	2930	1003
745	2934	999
746	2938	995
747	2943	991
748	2947	987
749	2951	983
750	2955	979
751	2960	976
752	2965	972
753	2969	968
754	2974	965
755	2978	961
756	2983	957
757	2987	953
758	2992	950
759	2996	946
760	3001	942
761	3006	938
762	3010	935
763	3015	931
764	3019	927
765	3024	923
766	3029	920
767	3034	916
768	3039	913
769	3044	909
770	3049	905
771	3054	902
772	3058	898
773	3063	894
774	3068	890
775	3073	887
776	3078	883
777	3083	879
778	3089	876
779	3095	873
780	3101	869
781	3107	866
782	3113	862
783	3119	859
784	3124	855
785	3129	851
786	3133	848
787	3137	844
788	3142	840
789	3145	836
790	3149	832
791	3153	828
792	3157	824
793	3161	820
794	3164	816
795	3169	812
796	3172	808
797	3176	804
798	3179	799
799	3183	795
800	3186	791
801	3190	787
802	3193	783
803	3197	779
804	3201	775
805	3204	771
806	3208	767
807	3211	763
808	3215	759
809	3219	755
810	3222	751
811	3225	746
812	3229	742
813	3233	738
814	3237	734
815	3241	730
816	3244	726
817	3248	722
818	3252	718
819	3255	714
820	3258	710
821	3262	706
822	3265	702
823	3269	698
824	3272	694
825	3276	690
826	3280	686
827	3283	682
828	3287	678
829	3290	673
830	3293	669
831	3297	665
832	3300	661
833	3303	657
834	3306	653
835	3310	649
836	3315	645
837	3318	641
838	3321	637
839	3325	633
840	3329	629
841	3333	625
842	3336	621
843	3340	617
844	3344	613
845	3348	609
846	3351	605
847	3355	601
848	3359	597
849	3363	593
850	3366	589
851	3370	585
852	3374	581
853	3378	577
854	3381	573
855	3385	569
856	3388	565
857	3392	561
858	3395	557
859	3399	553
860	3402	549
861	3406	545
862	3410	541
863	3414	537
864	3417	533
865	3421	529
866	3424	525
867	3428	521
868	3432	517
869	3435	513
870	3438	509
871	3442	505
872	3445	501
873	3448	497
874	3452	493
875	3455	489
876	3459	485
877	3462	481
878	3466	477
879	3469	473
880	3473	469
881	3477	465
882	3480	461
883	3483	457
884	3487	453
885	3491	449
886	3494	445
887	3498	441
888	3501	437
889	3506	433
890	3510	429
891	3513	425
892	3517	421
893	3521	417
894	3524	413
895	3528	409
896	3531	405
897	3535	401
898	3538	397
899	3542	393
900	3545	389
901	3548	385
902	3552	381
903	3555	377
904	3559	373
905	3562	369
906	3565	365
907	3569	361
908	3572	357
909	3576	353
910	3579	349
911	3582	345
912	3586	341
913	3589	337
914	3593	333
915	3596	329
916	3600	325
917	3603	321
918	3606	317
919	3609	313
920	3613	309
921	3616	305
922	3619	301
923	3623	298
924	3626	294
925	3630	290
926	3633	286
927	3637	282
928	3640	278
929	3644	274
930	3648	270
931	3652	266
932	3656	262
933	3660	258
934	3663	254
935	3667	250
936	3670	246
937	3675	242
938	3678	238
939	3682	235
940	3685	231
941	3689	227
942	3693	223
943	3697	219
944	3701	215
945	3705	211
946	3709	207
947	3713	203
948	3717	199
949	3720	195
950	3724	191
951	3728	187
952	3731	184
953	3736	180
954	3739	176
955	3743	172
956	3746	168
957	3750	164
958	3754	160
959	3757	156
960	3761	152
961	3765	148
962	3769	144
963	3773	140
964	3776	136
965	3781	133
966	3784	129
967	3788	125
968	3791	121
969	3795	117
970	3799	113
971	3802	109
972	3805	105
973	3810	101
974	3814	97
975	3817	93
976	3821	89
977	3825	86
978	3829	82
979	3833	78
980	3836	74
981	3840	70
982	3843	66
983	3847	62
984	3850	58
985	3854	54
986	3858	50
987	3862	46
988	3865	42
989	3869	39
990	3872	35
991	3876	31
992	3880	27
993	3884	23
994	3887	19
995	3891	15
996	3895	11
997	3899	7
998	3902	3
999	3906	0
